,COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
16,Bangladesh,South-East Asia,1954637,1186.863,29131,17.688,269401356,163.581,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
17,Barbados,Americas,82318,28644.802,468,162.853,363262,126.407,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
18,Belarus,Europe,982867,10401.456,6978,73.847,13054679,138.2,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",4.0
19,Belgium,Europe,4177440,36254.821,31835,276.287,25357830,220.1,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
20,Belize,Americas,61150,15378.696,678,170.511,478096,120.237,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
21,Benin,Africa,26914,222.004,163,1.345,4156907,34.289,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
22,Bermuda,Americas,15428,24774.782,138,221.605,131612,211.347,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
23,Bhutan,South-East Asia,59644,7729.832,21,2.722,1909762,247.504,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
24,Bolivia (Plurinational State of),Americas,912869,7820.332,21951,188.049,13939699,119.418,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
25,Bonaire,Americas,8696,41577.815,30,143.438,41250,197.227,Pfizer/BioNTech,1.0
